English,简体中文,繁體中文,日本語,Italiano
Volleyball,排球,排球,バレーボール,Pallavolo
Walking,步行,步行,ウォーキング,Camminata
Water Fitness,水上健身,水上健身,ウォーターフィットネス,Acquagym
Water Polo,水球,水球,ウォーターポロ,Pallanuoto
Water Sports,水上运动,水上運動,ウォータースポーツ,Sport acquatici
Wheelchair,轮椅（户外步行配速/户外跑步配速）,輪椅 (户外競步配速/户外競跑配速),車椅子（屋外ウォーキングペース／屋外ランニングペース）,Allenamenti in sedia a rotelle (passo di camminata all'aperto/passo di corsa all'aperto)
Wrestling,摔跤,摔角,レスリング,Lotta
Yoga,瑜伽,瑜伽,ヨガ,Yoga
American Football,美式橄榄球,美式橄欖球,アメリカンフットボール,Football americano
Australian Football,澳式足球,澳式足球,オーストラリアンフットボール,Football australiano
Cardio Dance,有氧舞蹈,有氧舞蹈,カーディオダンス,Danza cardio
Cross Country Skiing,越野滑雪,越野滑雪,クロスカントリースキー,Sci di fondo
Downhill Skiing,高山滑雪,高山滑雪,ダウンヒルスキー,Sci alpino
Paddle Sports,划桨运动,划槳運動,パドルスポーツ,Sport di pagaia
Preparation And Recovery,泡沫轴筋膜放松,準備與恢復,準備と回復,Preparazione e recupero
Skating Sports,滑冰运动,滑冰運動,スケートスポーツ,Sport di pattinaggio
Stair Climbing,爬楼梯机,爬樓梯機,階段クライミング,Salita delle scale
Surfing Sports,冲浪运动,衝浪運動,サーフィン スポーツ,Sport di surf
Swim Bike Run,游泳骑行跑步,游泳騎行跑步,スイムバイクラン,Nuoto Bici Corsa
Transition,过渡,過渡,移行,Transizione
Underwater Diving,水下潜水,水下潛水,水中ダイビング,Immersione subacquea
Wheelchair Walk Pace,轮椅步行配速,輪椅步行配速,車椅子ウォークペース,Passo della camminata in sedia a rotelle
Wheelchair Run Pace,轮椅跑步配速,輪椅跑步配速,車椅子ランペース,Passo della corsa in sedia a rotelle
